"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter"
2025-11-17 12:10:30,1.67 kB/s,64.5 B/s,722 B/s,282 B/s,622 B/s,492 B/s,0 B/s,98.8 kB/s,625 B/s
2025-11-17 12:10:45,1.55 kB/s,31.5 B/s,669 B/s,255 B/s,616 B/s,487 B/s,0 B/s,102 kB/s,608 B/s
2025-11-17 12:11:00,1.76 kB/s,49.7 B/s,681 B/s,291 B/s,612 B/s,479 B/s,0 B/s,95.2 kB/s,594 B/s
2025-11-17 12:11:15,1.76 kB/s,118 B/s,684 B/s,313 B/s,621 B/s,479 B/s,0 B/s,100 kB/s,454 B/s
2025-11-17 12:11:30,1.62 kB/s,44.9 B/s,665 B/s,293 B/s,652 B/s,481 B/s,0 B/s,96.0 kB/s,642 B/s
2025-11-17 12:11:45,1.68 kB/s,6.18 B/s,626 B/s,280 B/s,567 B/s,468 B/s,0 B/s,105 kB/s,684 B/s
2025-11-17 12:12:00,1.75 kB/s,18.5 B/s,708 B/s,292 B/s,607 B/s,508 B/s,0 B/s,99.9 kB/s,632 B/s
2025-11-17 12:12:15,1.52 kB/s,6.72 B/s,652 B/s,314 B/s,555 B/s,524 B/s,0 B/s,107 kB/s,650 B/s
2025-11-17 12:12:30,1.75 kB/s,7.06 B/s,730 B/s,298 B/s,640 B/s,447 B/s,0 B/s,98.2 kB/s,570 B/s
2025-11-17 12:12:45,1.79 kB/s,45.2 B/s,709 B/s,282 B/s,621 B/s,491 B/s,0 B/s,105 kB/s,617 B/s
2025-11-17 12:13:00,1.73 kB/s,41.4 B/s,,287 B/s,613 B/s,241 B/s,0 B/s,104 kB/s,626 B/s
2025-11-17 12:13:15,1.64 kB/s,42.9 B/s,,225 B/s,607 B/s,81.2 B/s,0 B/s,94.5 kB/s,671 B/s
2025-11-17 12:13:30,1.66 kB/s,52.0 B/s,,231 B/s,633 B/s,61.9 B/s,0 B/s,102 kB/s,656 B/s
2025-11-17 12:13:45,1.66 kB/s,52.4 B/s,,204 B/s,679 B/s,69.1 B/s,0 B/s,92.2 kB/s,587 B/s
2025-11-17 12:14:00,1.72 kB/s,0 B/s,,221 B/s,620 B/s,65.0 B/s,0 B/s,99.0 kB/s,623 B/s
2025-11-17 12:14:15,1.71 kB/s,51.4 B/s,,219 B/s,623 B/s,80.8 B/s,0 B/s,86.6 kB/s,648 B/s
2025-11-17 12:14:30,1.62 kB/s,115 B/s,,219 B/s,574 B/s,64.3 B/s,0 B/s,97.4 kB/s,662 B/s
2025-11-17 12:14:45,1.62 kB/s,7.23 B/s,,209 B/s,665 B/s,70.7 B/s,0 B/s,90.2 kB/s,612 B/s
2025-11-17 12:15:00,1.66 kB/s,6.80 B/s,,225 B/s,598 B/s,68.8 B/s,0 B/s,98.8 kB/s,631 B/s
