"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter"
2025-11-17 12:05:15,1.79 kB/s,61.2 B/s,568 B/s,220 B/s,684 B/s,399 B/s,9.74 B/s,99.6 kB/s,611 B/s
2025-11-17 12:05:30,1.73 kB/s,0 B/s,644 B/s,230 B/s,614 B/s,503 B/s,0 B/s,104 kB/s,618 B/s
2025-11-17 12:05:45,1.62 kB/s,53.9 B/s,612 B/s,283 B/s,642 B/s,515 B/s,0 B/s,103 kB/s,598 B/s
2025-11-17 12:06:00,1.50 kB/s,45.3 B/s,718 B/s,270 B/s,568 B/s,508 B/s,0 B/s,85.2 kB/s,621 B/s
2025-11-17 12:06:15,1.75 kB/s,46.6 B/s,735 B/s,290 B/s,534 B/s,508 B/s,0 B/s,94.2 kB/s,685 B/s
2025-11-17 12:06:30,1.65 kB/s,36.3 B/s,716 B/s,301 B/s,610 B/s,490 B/s,0 B/s,104 kB/s,636 B/s
2025-11-17 12:06:45,1.84 kB/s,65.9 B/s,712 B/s,292 B/s,630 B/s,479 B/s,0 B/s,102 kB/s,631 B/s
2025-11-17 12:07:00,1.82 kB/s,50.8 B/s,716 B/s,267 B/s,615 B/s,495 B/s,0 B/s,106 kB/s,641 B/s
2025-11-17 12:07:15,1.80 kB/s,47.3 B/s,726 B/s,314 B/s,615 B/s,518 B/s,0 B/s,103 kB/s,654 B/s
2025-11-17 12:07:30,1.55 kB/s,12.4 B/s,734 B/s,295 B/s,684 B/s,473 B/s,0 B/s,104 kB/s,620 B/s
2025-11-17 12:07:45,1.79 kB/s,35.5 B/s,714 B/s,281 B/s,645 B/s,492 B/s,0 B/s,102 kB/s,628 B/s
2025-11-17 12:08:00,1.80 kB/s,3.36 kB/s,712 B/s,276 B/s,598 B/s,513 B/s,0 B/s,103 kB/s,653 B/s
2025-11-17 12:08:15,1.64 kB/s,36.7 B/s,728 B/s,315 B/s,679 B/s,508 B/s,0 B/s,97.1 kB/s,594 B/s
2025-11-17 12:08:30,1.92 kB/s,5.28 kB/s,708 B/s,304 B/s,678 B/s,494 B/s,0 B/s,104 kB/s,602 B/s
2025-11-17 12:08:45,1.66 kB/s,55.0 B/s,697 B/s,281 B/s,618 B/s,427 B/s,0 B/s,99.2 kB/s,664 B/s
2025-11-17 12:09:00,1.66 kB/s,5.58 B/s,684 B/s,287 B/s,667 B/s,504 B/s,0 B/s,101 kB/s,595 B/s
2025-11-17 12:09:15,1.74 kB/s,3.02 kB/s,717 B/s,322 B/s,653 B/s,510 B/s,0 B/s,106 kB/s,659 B/s
2025-11-17 12:09:30,1.87 kB/s,52.9 B/s,712 B/s,259 B/s,620 B/s,487 B/s,0 B/s,99.5 kB/s,598 B/s
2025-11-17 12:09:45,1.73 kB/s,44.8 B/s,617 B/s,265 B/s,587 B/s,492 B/s,0 B/s,98.5 kB/s,595 B/s
2025-11-17 12:10:00,1.84 kB/s,44.8 B/s,702 B/s,291 B/s,617 B/s,508 B/s,0 B/s,101 kB/s,665 B/s
2025-11-17 12:10:15,1.65 kB/s,6.12 B/s,725 B/s,316 B/s,680 B/s,504 B/s,0 B/s,103 kB/s,640 B/s
