"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter"
2025-11-17 12:05:15,31.0 MiB,105 MiB,34.3 MiB,404 KiB,10.8 MiB,116 MiB,16.4 MiB,103 MiB,15.7 MiB
2025-11-17 12:05:30,31.0 MiB,105 MiB,34.3 MiB,404 KiB,11.7 MiB,116 MiB,16.4 MiB,103 MiB,16.2 MiB
2025-11-17 12:05:45,33.2 MiB,105 MiB,34.3 MiB,404 KiB,11.3 MiB,116 MiB,16.4 MiB,103 MiB,17.0 MiB
2025-11-17 12:06:00,32.7 MiB,105 MiB,34.3 MiB,404 KiB,10.6 MiB,116 MiB,16.4 MiB,104 MiB,16.1 MiB
2025-11-17 12:06:15,31.6 MiB,103 MiB,34.4 MiB,404 KiB,10.7 MiB,116 MiB,16.4 MiB,104 MiB,16.7 MiB
2025-11-17 12:06:30,29.6 MiB,103 MiB,34.4 MiB,404 KiB,10.7 MiB,116 MiB,16.4 MiB,104 MiB,16.2 MiB
2025-11-17 12:06:45,34.1 MiB,103 MiB,34.4 MiB,404 KiB,11.1 MiB,116 MiB,16.4 MiB,104 MiB,16.9 MiB
2025-11-17 12:07:00,33.3 MiB,103 MiB,34.4 MiB,404 KiB,10.8 MiB,116 MiB,16.4 MiB,104 MiB,17.1 MiB
2025-11-17 12:07:15,33.7 MiB,103 MiB,34.4 MiB,404 KiB,11.3 MiB,118 MiB,16.4 MiB,104 MiB,16.6 MiB
2025-11-17 12:07:30,33.3 MiB,103 MiB,34.4 MiB,404 KiB,10.9 MiB,118 MiB,16.4 MiB,104 MiB,16.7 MiB
2025-11-17 12:07:45,35.5 MiB,103 MiB,36.1 MiB,404 KiB,10.7 MiB,118 MiB,16.4 MiB,104 MiB,16.0 MiB
2025-11-17 12:08:00,35.0 MiB,103 MiB,36.1 MiB,404 KiB,11.3 MiB,118 MiB,16.4 MiB,104 MiB,17.6 MiB
