"Time","cadvisor","grafana","mockpt-opcua-mqtt-client","mosquitto-broker","node-exporter","physical_twin_emulator","portainer","prometheus","state-exporter"
2025-11-17 12:24:45,2.28%,0.0678%,,0.0278%,0.614%,12.2%,0.000641%,0.943%,0.481%
2025-11-17 12:25:00,2.61%,0.0625%,0.233%,0.0335%,0.727%,0.592%,0.00179%,1.01%,0.592%
2025-11-17 12:25:15,2.32%,0.358%,0.233%,0.0330%,0.691%,0.532%,0.000754%,0.971%,0.464%
2025-11-17 12:25:30,2.24%,0.193%,0.298%,0.0372%,0.640%,0.528%,0.00115%,1.22%,0.602%
2025-11-17 12:25:45,1.75%,0.0648%,0.218%,0.0355%,0.781%,0.565%,0.00161%,0.944%,0.585%
2025-11-17 12:26:00,2.39%,0.0583%,0.215%,0.0345%,0.642%,0.569%,0.00108%,0.918%,0.515%
2025-11-17 12:26:15,2.34%,0.0624%,0.235%,0.0337%,0.651%,0.551%,0.00167%,0.927%,0.491%
2025-11-17 12:26:30,2.28%,0.0581%,0.254%,0.0342%,0.636%,0.557%,0.000951%,0.958%,0.516%
2025-11-17 12:26:45,2.44%,0.0615%,0.229%,0.0356%,0.639%,0.543%,0.00124%,0.918%,0.550%
2025-11-17 12:27:00,2.20%,0.514%,0.235%,0.0359%,0.756%,0.562%,0.00186%,1.21%,0.524%
2025-11-17 12:27:15,2.38%,0.242%,0.263%,0.0404%,0.723%,0.591%,0.00188%,1.07%,0.656%
2025-11-17 12:27:30,2.25%,0.0635%,0.248%,0.0373%,0.723%,0.589%,0.00177%,0.991%,0.509%
2025-11-17 12:27:45,2.07%,0.0653%,0.231%,0.0326%,0.677%,0.551%,0.00134%,0.851%,0.575%
2025-11-17 12:28:00,2.20%,0.0610%,0.235%,0.0329%,0.758%,0.554%,0.00105%,1.01%,0.562%
2025-11-17 12:28:15,2.16%,0.0669%,0.227%,0.0344%,0.703%,0.545%,0.00133%,0.945%,0.503%
2025-11-17 12:28:30,2.28%,0.0679%,0.242%,0.0353%,0.647%,0.531%,0.00156%,0.927%,0.535%
2025-11-17 12:28:45,2.15%,0.0625%,0.244%,0.0369%,0.635%,0.568%,0.00180%,0.953%,0.580%
2025-11-17 12:29:00,2.33%,0.0634%,0.244%,0.0360%,0.739%,0.549%,0.000696%,1.03%,0.518%
2025-11-17 12:29:15,2.08%,0.252%,0.239%,0.0349%,0.643%,0.543%,0.00137%,0.968%,0.532%
2025-11-17 12:29:30,2.00%,0.0577%,0.209%,0.0333%,0.700%,0.504%,0.00142%,1.02%,0.523%
2025-11-17 12:29:45,2.52%,0.0650%,0.244%,0.0368%,0.671%,0.546%,0.00180%,0.864%,0.561%
2025-11-17 12:30:00,2.25%,0.0567%,0.220%,0.0353%,0.680%,0.523%,0.00140%,0.967%,0.542%
2025-11-17 12:30:15,2.10%,0.0571%,0.229%,0.0346%,0.615%,0.529%,0.00114%,1.17%,0.536%
2025-11-17 12:30:30,2.08%,0.0572%,0.188%,0.0342%,0.662%,0.503%,0.000953%,0.880%,0.422%
2025-11-17 12:30:45,2.40%,0.0646%,0.247%,0.0364%,0.698%,0.556%,0.00183%,0.959%,0.610%
2025-11-17 12:31:00,2.39%,0.0635%,0.246%,0.0347%,0.642%,0.476%,0.0327%,1.11%,0.619%
2025-11-17 12:31:15,2.12%,0.212%,0.216%,0.0306%,0.619%,0.483%,0.00163%,0.953%,0.502%
2025-11-17 12:31:30,2.04%,0.0559%,0.213%,0.0352%,0.675%,0.527%,0.00134%,0.956%,0.602%
2025-11-17 12:31:45,2.43%,0.0647%,0.217%,0.0372%,0.660%,0.567%,0.000564%,1.03%,0.481%
2025-11-17 12:32:00,2.16%,0.0640%,,0.0331%,0.726%,0.409%,0.00147%,0.934%,0.477%
